"filename", "language", "Svelte", "JSON with Comments", "JavaScript", "TypeScript", "HTML", "XML", "CSS", "JSON", "Log", "comment", "blank", "total"
"c:\Users\Usuario\escuela\src\lib\database\types.ts", "TypeScript", 0, 0, 0, 112, 0, 0, 0, 0, 0, 8, 22, 142
"c:\Users\Usuario\escuela\src\lib\handlers\backup.handler.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 10, 57
"c:\Users\Usuario\escuela\src\lib\handlers\justificaciones.handler.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 11, 65
"c:\Users\Usuario\escuela\src\lib\handlers\login.handler.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 3, 20, 106
"c:\Users\Usuario\escuela\src\lib\handlers\pregseg.handler.ts", "TypeScript", 0, 0, 0, 99, 0, 0, 0, 0, 0, 1, 22, 122
"c:\Users\Usuario\escuela\src\lib\handlers\register.handler.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Usuario\escuela\src\lib\handlers\types.handler.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Usuario\escuela\src\lib\images\icons\admin_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\administrar_asistencias_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\administrar_justificaciones_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\administrar_usuario_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\backup_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\borrar_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\camara_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\cancelar_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\check_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
